Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
2,19,Male,Maine,Yes,2,Cash,6
8,27,Male,Louisiana,Yes,19,Credit Card,7
9,26,Male,West Virginia,Yes,8,Venmo,2
12,30,Male,Hawaii,Yes,10,Bank Transfer,6
22,31,Male,North Carolina,Yes,22,Debit Card,3
25,18,Male,Florida,Yes,16,Debit Card,7
26,18,Male,Texas,Yes,14,PayPal,2
27,38,Male,Nevada,Yes,13,Credit Card,2
30,31,Male,Wyoming,Yes,14,Credit Card,7
38,35,Male,Indiana,Yes,10,PayPal,7
43,20,Male,Tennessee,Yes,15,PayPal,2
44,25,Male,Ohio,Yes,19,PayPal,6
58,21,Male,West Virginia,Yes,17,Debit Card,6
67,31,Male,Pennsylvania,Yes,3,Venmo,1
73,18,Male,Georgia,Yes,21,Bank Transfer,1
81,19,Male,New York,Yes,24,Credit Card,1
83,19,Male,Georgia,Yes,21,Credit Card,1
99,20,Male,New York,Yes,20,Bank Transfer,2
112,26,Male,Massachusetts,Yes,9,Credit Card,2
122,19,Male,Virginia,Yes,11,Cash,6
129,20,Male,California,Yes,21,Credit Card,6
135,43,Male,Texas,Yes,25,Cash,4
136,43,Male,Kansas,Yes,12,PayPal,3
137,39,Male,South Carolina,Yes,4,Debit Card,3
144,30,Male,Missouri,Yes,25,PayPal,3
145,19,Male,New Jersey,Yes,25,Cash,4
150,38,Male,Delaware,Yes,14,PayPal,4
151,35,Male,California,Yes,17,Debit Card,1
152,28,Male,North Dakota,Yes,3,Venmo,2
155,41,Male,Oklahoma,Yes,21,Venmo,3
158,36,Male,Vermont,Yes,1,Bank Transfer,6
166,42,Male,Kentucky,Yes,7,Cash,4
168,33,Male,Arkansas,Yes,14,Credit Card,1
169,34,Male,Louisiana,Yes,5,Cash,6
170,27,Male,Nevada,Yes,3,PayPal,1
172,29,Male,Virginia,Yes,4,Credit Card,7
182,32,Male,Massachusetts,Yes,4,Bank Transfer,7
183,38,Male,Alabama,Yes,10,Debit Card,2
188,19,Male,Georgia,Yes,1,Bank Transfer,5
190,36,Male,West Virginia,Yes,4,Credit Card,7
207,24,Male,Wisconsin,Yes,6,Venmo,6
214,30,Male,Nevada,Yes,11,Debit Card,1
217,43,Male,Massachusetts,Yes,21,Venmo,7
218,35,Male,Oklahoma,Yes,24,Bank Transfer,2
219,28,Male,California,Yes,8,Credit Card,3
220,32,Male,Nevada,Yes,12,Cash,6
222,28,Male,North Carolina,Yes,6,Bank Transfer,3
226,25,Male,Arkansas,Yes,11,Bank Transfer,2
227,29,Male,Texas,Yes,5,PayPal,4
229,18,Male,New Hampshire,Yes,11,Credit Card,2
232,28,Male,Tennessee,Yes,18,Debit Card,1
235,20,Male,South Dakota,Yes,24,Credit Card,7
244,25,Male,Kentucky,Yes,4,Debit Card,4
247,35,Male,Nevada,Yes,20,Venmo,5
248,29,Male,Montana,Yes,14,Debit Card,7
251,33,Male,Mississippi,Yes,9,Bank Transfer,7
256,43,Male,Maryland,Yes,25,Debit Card,2
258,20,Male,West Virginia,Yes,5,Credit Card,3
260,32,Male,Louisiana,Yes,13,Debit Card,2
261,38,Male,Montana,Yes,11,Credit Card,1
262,21,Male,California,Yes,21,Credit Card,2
263,37,Male,Hawaii,Yes,6,Debit Card,2
265,36,Male,Colorado,Yes,15,Cash,2
266,32,Male,Michigan,Yes,17,Bank Transfer,5
271,33,Male,North Dakota,Yes,16,Bank Transfer,2
277,25,Male,South Dakota,Yes,11,Bank Transfer,6
282,38,Male,Oklahoma,Yes,22,Debit Card,5
283,21,Male,Minnesota,Yes,9,Cash,4
284,32,Male,Montana,Yes,16,Venmo,2
286,29,Male,Kentucky,Yes,3,Debit Card,5
287,27,Male,Nebraska,Yes,6,Debit Card,2
297,25,Male,Indiana,Yes,19,Credit Card,7
301,29,Male,Iowa,Yes,24,PayPal,7
307,26,Male,North Dakota,Yes,4,Cash,2
308,29,Male,Florida,Yes,3,Credit Card,1
313,38,Male,Massachusetts,Yes,6,PayPal,2
315,30,Male,New Jersey,Yes,17,Debit Card,1
333,19,Male,New York,Yes,5,Credit Card,4
334,39,Male,Alaska,Yes,15,Bank Transfer,5
337,36,Male,Rhode Island,Yes,16,PayPal,2
338,32,Male,New Mexico,Yes,16,Bank Transfer,2
340,40,Male,Pennsylvania,Yes,21,Credit Card,1
350,37,Male,Arizona,Yes,3,Bank Transfer,5
352,28,Male,New York,Yes,24,Debit Card,5
353,27,Male,Texas,Yes,12,Cash,1
356,37,Male,Oregon,Yes,1,PayPal,1
358,18,Male,Arkansas,Yes,16,Credit Card,5
373,24,Male,Pennsylvania,Yes,7,Debit Card,7
374,23,Male,North Dakota,Yes,11,Venmo,5
381,39,Male,New Hampshire,Yes,19,Bank Transfer,7
389,22,Male,Washington,Yes,10,PayPal,3
391,25,Male,Indiana,Yes,19,PayPal,2
392,37,Male,Minnesota,Yes,25,Cash,6
394,33,Male,Vermont,Yes,6,PayPal,6
395,43,Male,North Dakota,Yes,7,Debit Card,5
396,37,Male,Rhode Island,Yes,2,PayPal,2
399,20,Male,Montana,Yes,25,Debit Card,1
401,39,Male,Utah,Yes,14,PayPal,6
402,43,Male,Oklahoma,Yes,21,Cash,3
404,19,Male,Nevada,Yes,12,Bank Transfer,2
405,35,Male,Delaware,Yes,11,Credit Card,4
406,41,Male,South Carolina,Yes,15,Cash,2
411,29,Male,Virginia,Yes,1,Credit Card,3
413,24,Male,Maine,Yes,3,Bank Transfer,7
417,36,Male,Oregon,Yes,24,Bank Transfer,6
421,32,Male,North Carolina,Yes,18,Debit Card,5
426,40,Male,North Dakota,Yes,4,Credit Card,3
427,43,Male,Louisiana,Yes,19,Credit Card,3
429,21,Male,Wyoming,Yes,2,Debit Card,6
430,42,Male,Washington,Yes,21,Cash,6
444,22,Male,Hawaii,Yes,24,PayPal,2
446,42,Male,Iowa,Yes,18,Venmo,2
447,19,Male,West Virginia,Yes,15,Venmo,4
451,25,Male,Connecticut,Yes,19,Credit Card,4
455,37,Male,New Jersey,Yes,14,Cash,5
462,18,Male,Ohio,Yes,20,Venmo,7
467,38,Male,Vermont,Yes,25,PayPal,7
469,34,Male,Georgia,Yes,16,Cash,3
473,20,Male,Georgia,Yes,3,Bank Transfer,3
476,21,Male,Ohio,Yes,18,Debit Card,2
477,21,Male,Connecticut,Yes,2,Debit Card,6
483,41,Male,Connecticut,Yes,11,Venmo,2
484,23,Male,Oklahoma,Yes,12,Debit Card,7
