Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
4,21,Male,Rhode Island,Yes,49,PayPal,7
17,25,Male,Alabama,Yes,44,Debit Card,5
21,21,Male,Louisiana,Yes,50,Cash,1
24,31,Male,Oklahoma,Yes,40,Credit Card,7
32,33,Male,West Virginia,Yes,45,Venmo,4
33,36,Male,Kansas,Yes,37,Venmo,2
35,36,Male,North Dakota,Yes,38,PayPal,3
37,35,Male,Illinois,Yes,44,PayPal,6
39,29,Male,Florida,Yes,44,Venmo,1
45,39,Male,Kentucky,Yes,45,PayPal,7
49,42,Male,Nevada,Yes,38,Cash,4
53,42,Male,Alaska,Yes,26,Credit Card,7
54,29,Male,Mississippi,Yes,35,Credit Card,7
56,40,Male,South Carolina,Yes,49,Credit Card,2
57,41,Male,Mississippi,Yes,46,Credit Card,7
63,30,Male,Mississippi,Yes,31,Credit Card,6
64,33,Male,Arizona,Yes,43,Credit Card,7
71,22,Male,Alabama,Yes,32,Debit Card,1
72,36,Male,Virginia,Yes,34,Bank Transfer,2
78,22,Male,Delaware,Yes,36,Debit Card,6
80,38,Male,Iowa,Yes,43,Bank Transfer,1
84,36,Male,Texas,Yes,34,Bank Transfer,7
87,24,Male,Nevada,Yes,47,Cash,5
89,33,Male,Wyoming,Yes,35,Credit Card,4
91,25,Male,South Carolina,Yes,29,Credit Card,4
94,37,Male,Florida,Yes,46,Credit Card,7
96,37,Male,Missouri,Yes,48,PayPal,4
97,32,Male,Delaware,Yes,43,Venmo,1
98,21,Male,Virginia,Yes,37,Cash,2
100,26,Male,Missouri,Yes,33,Debit Card,3
102,27,Male,North Dakota,Yes,50,Credit Card,5
108,28,Male,Maryland,Yes,46,PayPal,6
113,37,Male,Florida,Yes,28,PayPal,5
120,38,Male,Wyoming,Yes,44,Cash,2
123,40,Male,Washington,Yes,44,Cash,6
125,44,Male,Nevada,Yes,50,PayPal,2
127,43,Male,Mississippi,Yes,48,Cash,1
128,24,Male,Mississippi,Yes,26,Credit Card,7
130,24,Male,Pennsylvania,Yes,49,PayPal,5
132,28,Male,Maine,Yes,46,Credit Card,7
133,30,Male,New Mexico,Yes,42,PayPal,7
143,37,Male,Nebraska,Yes,33,Credit Card,6
146,24,Male,Missouri,Yes,44,Debit Card,3
149,37,Male,Wyoming,Yes,47,Debit Card,2
153,30,Male,South Carolina,Yes,42,Venmo,2
157,35,Male,Missouri,Yes,40,Debit Card,2
159,25,Male,Connecticut,Yes,50,Bank Transfer,4
161,27,Male,Texas,Yes,34,Venmo,4
174,25,Male,Hawaii,Yes,30,Cash,2
175,41,Male,Vermont,Yes,37,Venmo,2
178,21,Male,Kansas,Yes,47,Bank Transfer,4
185,32,Male,Hawaii,Yes,40,Cash,6
187,39,Male,Minnesota,Yes,31,Debit Card,2
194,36,Male,North Dakota,Yes,29,Venmo,2
197,38,Male,Washington,Yes,41,Credit Card,6
201,25,Male,Pennsylvania,Yes,29,Venmo,4
205,24,Male,Arizona,Yes,35,Cash,5
215,24,Male,Hawaii,Yes,41,Cash,1
221,39,Male,Arizona,Yes,48,Debit Card,6
224,20,Male,Wyoming,Yes,34,PayPal,2
234,19,Male,Arizona,Yes,27,Bank Transfer,1
236,43,Male,New Jersey,Yes,31,Debit Card,3
237,38,Male,North Dakota,Yes,39,PayPal,6
242,36,Male,Delaware,Yes,43,Venmo,5
252,21,Male,Wyoming,Yes,34,PayPal,2
253,32,Male,Delaware,Yes,33,Venmo,6
264,27,Male,Iowa,Yes,29,Venmo,4
278,29,Male,Georgia,Yes,36,Bank Transfer,5
280,23,Male,Arkansas,Yes,37,Bank Transfer,4
289,30,Male,North Carolina,Yes,34,Venmo,5
300,25,Male,Pennsylvania,Yes,28,PayPal,6
303,37,Male,Delaware,Yes,27,Bank Transfer,1
304,20,Male,Oregon,Yes,49,Venmo,7
305,40,Male,Oregon,Yes,45,Credit Card,5
314,42,Male,Vermont,Yes,50,Credit Card,1
317,36,Male,California,Yes,46,Venmo,4
322,41,Male,Vermont,Yes,48,Debit Card,3
323,41,Male,Tennessee,Yes,47,Credit Card,4
325,37,Male,Wyoming,Yes,37,Venmo,3
332,31,Male,Florida,Yes,46,PayPal,3
335,41,Male,Kansas,Yes,30,Credit Card,2
336,20,Male,Oregon,Yes,44,Venmo,1
341,40,Male,New Jersey,Yes,39,Venmo,1
342,20,Male,Utah,Yes,40,Debit Card,5
344,27,Male,Nebraska,Yes,26,Venmo,4
345,24,Male,Virginia,Yes,46,Debit Card,4
348,36,Male,Oregon,Yes,43,PayPal,6
351,42,Male,Kentucky,Yes,47,Bank Transfer,6
360,31,Male,Georgia,Yes,30,Credit Card,1
369,24,Male,Oklahoma,Yes,29,Cash,4
370,38,Male,Wisconsin,Yes,45,PayPal,3
372,27,Male,North Carolina,Yes,47,PayPal,4
380,32,Male,Montana,Yes,46,Debit Card,5
383,28,Male,California,Yes,47,PayPal,3
390,27,Male,Virginia,Yes,28,Bank Transfer,4
393,26,Male,Idaho,Yes,38,Credit Card,2
398,22,Male,Mississippi,Yes,26,Cash,2
403,31,Male,California,Yes,26,PayPal,4
409,34,Male,Alabama,Yes,36,Cash,6
410,35,Male,Minnesota,Yes,32,Bank Transfer,4
415,29,Male,Wyoming,Yes,30,Debit Card,7
418,23,Male,Mississippi,Yes,48,Debit Card,3
419,18,Male,Illinois,Yes,27,Venmo,5
422,38,Male,Kentucky,Yes,48,Cash,5
431,24,Male,Texas,Yes,40,Debit Card,2
432,43,Male,New Hampshire,Yes,33,Cash,6
437,40,Male,Tennessee,Yes,41,Bank Transfer,7
441,20,Male,Oklahoma,Yes,34,Debit Card,6
442,43,Male,Florida,Yes,32,Credit Card,2
443,29,Male,Michigan,Yes,31,Credit Card,3
449,32,Male,Missouri,Yes,35,Bank Transfer,6
450,26,Male,New York,Yes,35,Bank Transfer,4
458,25,Male,Rhode Island,Yes,48,Debit Card,1
464,37,Male,Georgia,Yes,29,Venmo,7
465,23,Male,Alabama,Yes,45,PayPal,4
468,19,Male,Nebraska,Yes,37,Debit Card,1
470,21,Male,Alabama,Yes,30,Debit Card,5
474,34,Male,West Virginia,Yes,29,PayPal,1
478,42,Male,North Dakota,Yes,49,Debit Card,7
479,35,Male,Kansas,Yes,48,Venmo,2
480,39,Male,Iowa,Yes,43,Venmo,4
487,38,Male,New Mexico,Yes,37,Venmo,1
495,38,Male,Indiana,Yes,42,Debit Card,7
497,30,Male,California,Yes,31,Venmo,6
498,43,Male,Oklahoma,Yes,31,Cash,7
499,43,Male,Iowa,Yes,27,Bank Transfer,4
501,36,Male,Washington,Yes,35,Venmo,1
505,42,Male,Missouri,Yes,26,PayPal,2
