Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Male,Kentucky,Yes,14,Venmo,6
3,50,Male,Massachusetts,Yes,23,Credit Card,7
6,46,Male,Wyoming,Yes,14,Venmo,7
10,57,Male,Missouri,Yes,4,Cash,3
16,64,Male,Rhode Island,Yes,8,PayPal,4
19,52,Male,Montana,Yes,17,Cash,7
28,56,Male,Kentucky,Yes,7,Bank Transfer,1
31,57,Male,North Carolina,Yes,16,Credit Card,4
40,70,Male,Arizona,Yes,18,Credit Card,4
46,50,Male,Tennessee,Yes,25,PayPal,2
52,59,Male,Vermont,Yes,7,Credit Card,3
60,63,Male,Louisiana,Yes,4,Debit Card,7
61,50,Male,Idaho,Yes,17,Cash,7
62,55,Male,Texas,Yes,21,Credit Card,1
65,65,Male,Alabama,Yes,18,Debit Card,6
69,57,Male,Utah,Yes,21,Cash,1
70,48,Male,Tennessee,Yes,5,Cash,7
75,49,Male,Indiana,Yes,3,Cash,4
76,64,Male,Utah,Yes,21,Credit Card,2
86,53,Male,New Mexico,Yes,2,Debit Card,5
90,47,Male,California,Yes,15,Cash,3
92,44,Male,South Carolina,Yes,18,Credit Card,1
93,61,Male,Texas,Yes,13,Venmo,1
104,54,Male,West Virginia,Yes,22,Venmo,5
105,55,Male,New Hampshire,Yes,1,PayPal,4
106,69,Male,New York,Yes,4,Bank Transfer,2
114,44,Male,New Jersey,Yes,20,PayPal,3
115,70,Male,Massachusetts,Yes,9,Cash,7
117,55,Male,Virginia,Yes,12,Venmo,2
131,44,Male,Kentucky,Yes,13,PayPal,6
134,52,Male,Montana,Yes,25,Venmo,2
147,52,Male,Colorado,Yes,21,Venmo,6
154,69,Male,North Carolina,Yes,22,Debit Card,2
156,63,Male,Maine,Yes,21,Bank Transfer,3
164,54,Male,Virginia,Yes,8,Debit Card,7
165,59,Male,Delaware,Yes,5,Credit Card,6
176,53,Male,Oklahoma,Yes,2,Bank Transfer,2
179,61,Male,Idaho,Yes,21,PayPal,3
180,64,Male,Illinois,Yes,9,Bank Transfer,6
181,51,Male,South Dakota,Yes,12,Debit Card,6
189,50,Male,Arkansas,Yes,5,Bank Transfer,5
193,46,Male,Nebraska,Yes,12,PayPal,5
195,51,Male,Missouri,Yes,15,Debit Card,3
202,69,Male,Missouri,Yes,15,Bank Transfer,2
204,70,Male,Indiana,Yes,18,Bank Transfer,7
208,62,Male,Rhode Island,Yes,17,Bank Transfer,5
209,57,Male,Wisconsin,Yes,17,Credit Card,4
211,45,Male,Vermont,Yes,6,PayPal,6
213,67,Male,Virginia,Yes,7,Debit Card,2
216,62,Male,New Jersey,Yes,24,PayPal,5
223,47,Male,New York,Yes,14,PayPal,6
225,63,Male,South Dakota,Yes,12,Cash,1
228,50,Male,Rhode Island,Yes,25,Venmo,6
239,64,Male,Ohio,Yes,5,Cash,2
250,53,Male,Alaska,Yes,18,Credit Card,2
254,52,Male,Oklahoma,Yes,15,Bank Transfer,5
255,67,Male,Indiana,Yes,4,PayPal,5
257,58,Male,South Dakota,Yes,20,Credit Card,1
259,61,Male,Alabama,Yes,16,Cash,3
269,68,Male,Georgia,Yes,21,Cash,4
270,68,Male,Georgia,Yes,9,Cash,5
276,48,Male,Virginia,Yes,13,Credit Card,7
279,57,Male,Hawaii,Yes,23,Debit Card,2
281,45,Male,Montana,Yes,21,Cash,5
285,63,Male,Ohio,Yes,4,PayPal,3
288,56,Male,Delaware,Yes,18,Venmo,6
293,60,Male,Utah,Yes,24,Cash,3
295,70,Male,New Jersey,Yes,19,Credit Card,1
296,53,Male,West Virginia,Yes,24,Credit Card,3
298,48,Male,Delaware,Yes,4,Credit Card,5
299,69,Male,Maryland,Yes,11,Venmo,1
302,46,Male,Pennsylvania,Yes,25,Credit Card,1
310,66,Male,Minnesota,Yes,21,Cash,6
312,69,Male,Rhode Island,Yes,19,Bank Transfer,4
316,66,Male,Wisconsin,Yes,24,Debit Card,2
319,45,Male,South Dakota,Yes,10,Cash,2
320,47,Male,Maine,Yes,1,Cash,1
329,48,Male,Florida,Yes,9,Credit Card,7
339,69,Male,Massachusetts,Yes,16,Cash,7
347,49,Male,New Mexico,Yes,5,Cash,7
349,56,Male,South Carolina,Yes,17,PayPal,6
361,51,Male,Rhode Island,Yes,18,Debit Card,6
363,53,Male,Texas,Yes,1,Venmo,6
365,62,Male,North Dakota,Yes,7,Venmo,1
368,52,Male,Tennessee,Yes,18,Bank Transfer,4
371,59,Male,Oregon,Yes,13,PayPal,7
376,59,Male,Oklahoma,Yes,6,Debit Card,3
377,51,Male,South Carolina,Yes,2,Venmo,5
379,54,Male,Nevada,Yes,23,Credit Card,4
382,66,Male,Maine,Yes,3,Credit Card,1
384,50,Male,West Virginia,Yes,6,PayPal,3
385,70,Male,California,Yes,6,Venmo,2
386,67,Male,West Virginia,Yes,12,Credit Card,5
397,46,Male,South Carolina,Yes,24,Bank Transfer,2
400,60,Male,Idaho,Yes,10,Debit Card,4
407,52,Male,Maryland,Yes,13,Cash,4
408,45,Male,North Carolina,Yes,5,Credit Card,5
412,59,Male,Michigan,Yes,15,PayPal,2
420,53,Male,Utah,Yes,14,Credit Card,1
424,46,Male,New York,Yes,21,Credit Card,5
428,58,Male,Illinois,Yes,6,Credit Card,3
434,49,Male,Alabama,Yes,23,Credit Card,6
439,52,Male,Iowa,Yes,12,Credit Card,6
448,60,Male,Washington,Yes,7,Bank Transfer,1
454,54,Male,Nebraska,Yes,22,Credit Card,7
466,54,Male,Oklahoma,Yes,25,Cash,3
471,50,Male,Minnesota,Yes,6,Cash,1
475,62,Male,Arkansas,Yes,15,Cash,3
