Gender,Age,Category,Item Purchased,Size,Color,Season,Location,Subscription Status,Payment Method,Shipping Type,Preferred Payment Method,Previous Purchases,Review Rating,Frequency of Purchases
1,55,1,1,3,9,3,21,2,2,5,5,14,3,6
1,19,1,6,3,10,3,29,2,6,5,3,2,3,6
1,50,1,25,1,10,1,39,2,3,1,2,23,3,7
1,21,3,11,2,10,1,50,2,1,4,1,49,3,7
1,45,1,1,2,22,1,34,2,3,1,1,31,2,2
1,46,3,21,2,23,4,40,2,5,2,5,14,2,7
1,63,1,4,2,9,2,1,2,4,1,3,49,3,3
1,27,1,14,3,12,3,13,2,4,1,2,19,3,7
1,26,4,10,3,3,4,16,2,5,5,5,8,2,2
1,57,2,17,2,13,1,15,2,1,6,3,4,4,3
1,53,3,19,3,16,2,22,2,2,3,6,26,4,5
1,30,1,14,1,1,3,47,2,1,3,6,10,4,6
1,61,4,10,2,25,3,11,2,1,5,5,37,4,6
1,65,1,5,2,8,1,42,2,4,5,1,31,4,7
1,64,4,10,3,4,3,8,2,1,1,4,34,4,7
1,64,1,13,2,4,3,50,2,2,3,1,8,2,4
1,25,2,9,1,9,1,5,2,5,4,4,44,4,5
1,53,1,5,4,21,3,18,2,4,6,5,36,4,3
1,52,1,6,1,6,4,1,2,6,1,3,17,4,7
1,66,1,3,2,5,4,50,2,5,2,4,46,3,5
1,21,1,3,2,6,3,13,2,2,5,3,50,2,1
1,31,1,3,2,12,3,23,2,2,3,4,22,4,3
1,56,1,3,2,17,4,2,2,3,3,4,32,3,2
1,31,1,3,4,23,3,32,2,2,5,2,40,4,7
1,18,4,7,2,5,2,45,2,3,3,4,16,2,7
1,18,1,18,2,3,4,28,2,6,5,1,14,3,2
1,38,2,2,2,18,1,9,2,3,4,2,13,3,2
1,56,1,14,3,7,4,21,2,4,4,6,7,5,1
1,54,2,17,2,9,2,23,2,4,1,1,41,4,1
1,31,1,5,1,6,2,40,2,5,3,2,14,4,7
1,57,2,2,3,6,3,23,2,6,2,2,16,4,4
1,33,1,5,3,24,3,16,2,5,3,5,45,4,4
1,36,4,7,2,3,4,49,2,6,1,5,37,4,2
1,54,1,3,3,5,4,31,2,5,3,3,45,3,3
1,36,1,20,3,8,1,14,2,4,6,1,38,4,3
1,54,1,1,2,7,4,39,2,6,6,2,48,4,5
1,35,1,20,2,10,3,4,2,3,1,1,44,4,6
1,35,1,25,1,7,4,19,2,4,3,1,10,2,7
1,29,1,5,2,18,3,45,2,4,6,5,44,3,1
1,70,1,3,1,22,4,48,2,6,5,2,18,4,4
1,69,2,17,3,19,3,13,2,1,4,4,31,4,3
1,67,2,15,2,11,1,38,2,3,2,5,40,4,2
